Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13612970,"The Golden Tower (Magisterium, #5)",Holly Black,"Black, Holly","Cassandra Clare, Scott Fischer","=""""","=""9780545522427""",4,4.03,Scholastic Inc.,ebook,256,2018,2018,2020/11/09,2020/11/09,,,read,,,,1,,,0,,,,,
13612968,The Silver Mask (Magisterium #4),Holly Black,"Black, Holly",Cassandra Clare,"=""""","=""9780545522397""",4,4.07,Scholastic Press,ebook,200,2017,2017,2020/11/09,2020/11/08,,,read,,,,1,,,0,,,,,
13612962,"The Copper Gauntlet (Magisterium, #2)",Holly Black,"Black, Holly",Cassandra Clare,"=""0545522285""","=""9780545522281""",5,4.13,Scholastic Press,Hardcover,264,2015,2015,2020/11/08,2020/11/07,,,read,,,,1,,,0,,,,,
20578940,"The Iron Trial (Magisterium, #1)",Holly Black,"Black, Holly","Cassandra Clare, Scott Fischer","=""0545522250""","=""9780545522250""",5,3.95,Scholastic Press,Hardcover,295,2014,2014,2020/11/07,2020/11/05,,,read,,,,1,,,0,,,,,
36111098,"The Light of All That Falls (The Licanius Trilogy, #3)",James Islington,"Islington, James",,"=""""","=""9780356507835""",5,4.41,Orbit,ebook,864,2019,2019,2020/10/30,2020/10/28,,,read,,,,1,,,0,,,,,
22443261,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.20,Tor UK,Kindle Edition,353,2014,2013,2020/10/30,2020/07/05,,,read,,,,1,,,0,,,,,
32498052,"An Echo of Things to Come (The Licanius Trilogy, #2)",James Islington,"Islington, James",,"=""0316274119""","=""9780316274111""",5,4.26,Orbit,Hardcover,752,2017,2017,2020/10/28,2020/10/25,,,read,,,,1,,,0,,,,,
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James Islington,"Islington, James",,"=""099258020X""","=""9780992580209""",5,4.14,Aslaradis Publishing,Paperback,602,2014,2014,2020/10/25,2020/10/21,,,read,,,,1,,,0,,,,,
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.22,Spectra,Kindle Edition,675,2002,1996,2020/10/21,2020/09/21,,,read,,,,1,,,0,,,,,
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, James Noel Smith","=""0062315005""","=""9780062315007""",4,3.89,HarperOne,Paperback,182,2014,1988,,2020/02/26,,,read,,,,1,,,0,,,,,
48717744,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,"Riordan, Rick",,"=""1484746457""","=""9781484746455""",5,4.53,Disney-Hyperion,Hardcover,410,2020,2020,2020/10/08,2020/04/24,,,read,,,,1,,,0,,,,,
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.47,Del Rey,Hardcover,524,2016,2016,,2020/09/29,,,read,,,,1,,,0,,,,,
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",5,4.43,Del Rey,ebook,430,2015,2015,2020/09/30,2020/09/29,,,read,,,,1,,,0,,,,,
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",5,4.16,Spectra Books,Mass Market Paperback,435,1996,1995,2020/09/21,2020/04/11,,,read,,,,1,,,0,,,,,
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",0,3.99,,Paperback,183,2004,1968,,2020/09/06,"gave_up, to-read","gave_up (#1), to-read (#52)",to-read,,,,0,,,0,,,,,
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062059963""","=""9780062059963""",3,3.99,HarperTeen,Hardcover,336,2013,2013,2020/08/30,2020/08/30,,,read,,,,1,,,0,,,,,
15820748,"The Prince (The Selection, #0.5)",Kiera Cass,"Cass, Kiera",,"=""0062248162""","=""9780062248169""",5,3.92,HarperTeen,ebook,64,2013,2013,2020/08/31,2020/08/31,,,read,,,,1,,,0,,,,,
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",4,4.11,HarperTeen,Hardcover,336,2012,2012,2020/08/30,2020/08/29,,,read,,,,1,,,0,,,,,
91477,"Fool Moon (The Dresden Files, #2)",Jim Butcher,"Butcher, Jim",,"=""0451458125""","=""9780451458124""",4,3.99,Roc,Mass Market Paperback,401,2001,2001,2020/08/29,2020/08/25,,,read,,,,1,,,0,,,,,
23397921,Sixth of the Dusk,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.24,"Dragonsteel Entertainment, LLC",Kindle Edition,59,2014,2014,2020/08/27,2020/08/21,,,read,,,,1,,,0,,,,,
